sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR31885812	2025-05-09_10-48-28	SRR31885812.fa	B3.13	NA:ea1, MP:ea1, PB2:am2.2, NP:am8, HA:ea1, PA:ea1, PB1:am4, NS:am1.1	ea1:22-003707-003:NA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS	98.86%, 98.98%, 98.60%, 99.06%, 98.47%, 99.02%, 99.47%, 99.05%	16, 10, 32, 14, 26, 21, 12, 8	Ran on FASTA - No Coverage Report
SRR32415153	2025-05-09_10-48-52	SRR32415153.fa	D1.1	NP:am13, NA:am4N1, HA:ea3, PB1:ea3, NS:ea3, PB2:am24, MP:ea3, PA:am4	am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am4:24-030039-001:PA	99.60%, 99.42%, 99.59%, 99.17%, 98.81%, 99.56%, 99.69%, 99.54%	6, 6, 7, 15, 10, 10, 3, 8	Ran on FASTA - No Coverage Report
SRR31820829	2025-05-09_10-50-27	SRR31820829.fa	B3.13	PB2:am2.2, NP:am8, MP:ea1, HA:ea1, NS:am1.1, PB1:am4, PA:ea1, NA:ea1	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA	98.64%, 99.00%, 98.98%, 98.36%, 99.05%, 99.38%, 98.84%, 98.86%	31, 15, 10, 28, 8, 14, 25, 16	Ran on FASTA - No Coverage Report
SRR30789607	2025-05-09_10-46-57	SRR30789607.fa	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	MP:ea1, PB2:am2.2, NA:ea1, HA:ea1, PB1:am4, NS:am1.1	ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA	98.62%, 98.53%, 99.19%, 98.13%, 97.26%, 99.42%, 98.43%, 97.86%	13, 18, 8, 22, 41, 13, 4, 46	Ran on FASTA - No Coverage Report
SRR24839238	2025-05-09_10-45-12	SRR24839238.fa	A1	NA:ea1, MP:ea1, PB2:ea1, PA:ea1, PB1:ea1, NP:ea1, HA:ea1, NS:ea1	ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:PB1, ea1:22-003707-003:NP, ea1:22-003707-003:HA, ea1:22-003707-003:NS	99.79%, 100.00%, 99.93%, 99.67%, 99.91%, 99.80%, 99.82%, 99.88%	3, 0, 1, 7, 2, 3, 3, 1	Ran on FASTA - No Coverage Report
SRR32416390	2025-05-09_10-47-49	SRR32416390.fa	D1.1	HA:ea3, PB1:ea3, MP:ea3, PB2:am24, NP:am13, PA:am4, NA:am4N1, NS:ea3	ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am24:24-030039-001:PB2, am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:NS	99.47%, 99.28%, 99.90%, 99.78%, 99.80%, 98.75%, 99.22%, 98.81%	9, 13, 1, 5, 3, 27, 9, 10	Ran on FASTA - No Coverage Report
SRR24839677	2025-05-09_10-46-11	SRR24839677.fa	A1	HA:ea1, MP:ea1, PB2:ea1, PB1:ea1, NP:ea1, PA:ea1, NS:ea1, NA:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NP, ea1:22-003707-003:PA, ea1:22-003707-003:NS, ea1:22-003707-003:NA	99.82%, 99.90%, 99.86%, 99.96%, 100.00%, 99.95%, 99.88%, 99.79%	3, 1, 2, 1, 0, 1, 1, 3	Ran on FASTA - No Coverage Report
SRR32804592	2025-05-09_10-52-19	SRR32804592.fa	D1.1	PA:am4, NS:ea3, NA:am4N1, NP:am13, MP:ea3, PB2:am24, PB1:ea3, HA:ea3	am4:24-030039-001:PA, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA	99.86%, 98.93%, 99.56%, 99.67%, 99.90%, 99.83%, 98.20%, 99.41%	3, 9, 5, 5, 1, 4, 41, 10	Ran on FASTA - No Coverage Report
SRR31885809	2025-05-09_10-50-49	SRR31885809.fa	D1.1	NA:am4N1, PB2:am24, NP:am13, HA:ea3, NS:ea3, PB1:ea3, PA:am4, MP:ea3	am4N1:24-030039-001:NA, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:MP	99.56%, 99.83%, 99.87%, 99.41%, 99.17%, 98.15%, 99.86%, 99.90%	5, 4, 2, 10, 7, 42, 3, 1	Ran on FASTA - No Coverage Report
SRR29377859	2025-05-09_10-45-56	SRR29377859.fa	B3.13	NP:am8, PB1:am4, HA:ea1, PA:ea1, NA:ea1, PB2:am2.2, MP:ea1, NS:am1.1	am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS	99.33%, 99.56%, 98.59%, 99.21%, 99.08%, 98.77%, 98.78%, 98.93%	10, 10, 24, 17, 13, 28, 12, 9	Ran on FASTA - No Coverage Report
SRR29740445	2025-05-09_10-48-25	SRR29740445.fa	C2.1	HA:ea2, MP:ea1, NS:ea1, PB1:am20, PA:am3, NA:ea2, NP:ea1, PB2:am19	ea2:23-030074-013:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NS, am20:23-036657-001:PB1, am3:23-036657-001:PA, ea2:23-004612-024:NA, ea1:22-003707-003:NP, am19:23-036193-005:PB2	99.59%, 99.29%, 99.05%, 99.69%, 99.63%, 99.57%, 99.40%, 99.91%	7, 7, 8, 7, 8, 6, 9, 2	Ran on FASTA - No Coverage Report
SRR32973844	2025-05-09_10-47-47	SRR32973844.fa	B3.13	PB2:am2.2, PA:ea1, NP:am8, HA:ea1, MP:ea1, NA:ea1, NS:am1.1, PB1:am4	am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1	98.60%, 99.12%, 99.06%, 98.47%, 98.98%, 98.86%, 99.05%, 99.43%	32, 19, 14, 26, 10, 16, 8, 13	Ran on FASTA - No Coverage Report
SRR24839124	2025-05-09_10-45-29	SRR24839124.fa	B2.1	NA:ea1, PB2:am1.2, NS:ea1, HA:ea1, PB1:ea1, MP:ea1, NP:am1.1, PA:ea1	ea1:22-003707-003:NA, am1.2:22-007805-001:PB2, ea1:22-003707-003:NS, ea1:22-003707-003:HA, ea1:22-003707-003:PB1, ea1:22-003707-003:MP, am1.1:22-007805-001:NP, ea1:22-003707-003:PA	99.79%, 99.91%, 99.52%, 99.94%, 99.87%, 99.90%, 99.87%, 99.91%	3, 2, 4, 1, 3, 1, 2, 2	Ran on FASTA - No Coverage Report
SRR32974111	2025-05-09_10-45-33	SRR32974111.fa	D1.1	MP:ea3, PA:am4, PB1:ea3, PB2:am24, NS:ea3, HA:ea3, NP:am13, NA:am4N1	ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA	100.00%, 99.67%, 99.38%, 99.83%, 99.28%, 99.35%, 99.80%, 99.23%	0, 7, 14, 4, 6, 11, 3, 8	Ran on FASTA - No Coverage Report
SRR32868796	2025-05-09_10-46-33	SRR32868796.fa	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	PB1:ea3, MP:ea3, HA:ea3, PB2:am24, NP:am13, NS:ea3	am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:NS	95.69%, 99.54%, 99.80%, 99.47%, 99.72%, 98.00%, 99.73%, 98.93%	61, 1, 2, 9, 2, 8, 4, 9	Ran on FASTA - No Coverage Report
SRR28912808	2025-05-09_10-47-36	SRR28912808.fa	B3.13	PA:ea1, MP:ea1, NS:am1.1, PB2:am2.2, NA:ea1, PB1:am4, NP:am8, HA:ea1	ea1:22-003707-003:PA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:HA	99.12%, 98.88%, 99.05%, 98.82%, 99.08%, 99.52%, 99.33%, 98.77%	19, 11, 8, 27, 13, 11, 10, 21	Ran on FASTA - No Coverage Report
SRR32223153	2025-05-09_10-46-43	SRR32223153.fa	B3.13	NA:ea1, PB1:am4, NS:am1.1, NP:am8, HA:ea1, PB2:am2.2, MP:ea1, PA:ea1	ea1:22-003707-003:NA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:PA	98.86%, 99.43%, 99.17%, 98.86%, 98.30%, 98.73%, 98.98%, 98.93%	16, 13, 7, 17, 29, 29, 10, 23	Ran on FASTA - No Coverage Report
SRR29851678	2025-05-09_10-48-39	SRR29851678.fa	B3.13	NA:ea1, PB2:am2.2, PB1:am4, MP:ea1, HA:ea1, NS:am1.1, PA:ea1, NP:am8	ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP	98.94%, 98.73%, 99.43%, 98.47%, 98.77%, 99.05%, 99.02%, 99.40%	15, 29, 13, 15, 21, 8, 21, 9	Ran on FASTA - No Coverage Report
SRR24843216	2025-05-09_10-46-48	SRR24843216.fa	B2.1	HA:ea1, PA:ea1, NS:ea1, PB2:am1.2, PB1:ea1, MP:ea1, NA:ea1, NP:am1.1	ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:NS, am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-007805-001:NP	99.88%, 99.91%, 99.88%, 99.91%, 99.87%, 99.90%, 99.93%, 100.00%	2, 2, 1, 2, 3, 1, 1, 0	Ran on FASTA - No Coverage Report
SRR31347816	2025-05-09_10-47-49	SRR31347816.fa	B3.13	PB1:am4, MP:ea1, NA:ea1, PB2:am2.2, PA:ea1, HA:ea1, NP:am8, NS:am1.1	am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am8:23-032005-001:NP, am1.1:22-010085-001:NS	99.47%, 98.88%, 98.86%, 98.55%, 98.98%, 98.42%, 99.06%, 98.93%	12, 11, 16, 33, 22, 27, 14, 9	Ran on FASTA - No Coverage Report
SRR28981019	2025-05-09_10-47-41	SRR28981019.fa	B3.13	HA:ea1, NS:am1.1, PB1:am4, NP:am8, PA:ea1, NA:ea1, MP:ea1, PB2:am2.2	ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2	98.77%, 99.28%, 99.56%, 99.20%, 98.70%, 99.01%, 98.78%, 98.82%	21, 6, 10, 12, 28, 14, 12, 27	Ran on FASTA - No Coverage Report
SRR31605155	2025-05-09_10-50-13	SRR31605155.fa	B3.13	PB2:am2.2, HA:ea1, PA:ea1, NS:am1.1, NP:am8, PB1:am4, MP:ea1, NA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA	98.64%, 98.42%, 99.02%, 99.05%, 99.00%, 99.52%, 98.98%, 98.86%	31, 27, 21, 8, 15, 11, 10, 16	Ran on FASTA - No Coverage Report
SRR31605332	2025-05-09_10-50-20	SRR31605332.fa	B3.13	NA:ea1, PB2:am2.2, PB1:am4, NP:am8, NS:am1.1, HA:ea1, MP:ea1, PA:ea1	ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:PA	98.79%, 98.73%, 99.52%, 99.00%, 99.05%, 98.36%, 98.98%, 98.93%	17, 29, 11, 15, 8, 28, 10, 23	Ran on FASTA - No Coverage Report
SRR29543341	2025-05-09_10-48-06	SRR29543341.fa	B3.13	PB2:am2.2, PA:ea1, NP:am8, NS:am1.1, NA:ea1, MP:ea1, PB1:am4, HA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:HA	98.77%, 99.21%, 99.20%, 99.28%, 99.01%, 98.88%, 99.52%, 98.77%	28, 17, 12, 6, 14, 11, 11, 21	Ran on FASTA - No Coverage Report
SRR32125741	2025-05-09_10-51-23	SRR32125741.fa	B3.13	MP:ea1, NS:am1.1, PB1:am4, PB2:am2.2, NP:am8, NA:ea1, PA:ea1, HA:ea1	ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA	98.78%, 98.93%, 99.52%, 98.64%, 99.00%, 98.86%, 99.02%, 98.53%	12, 9, 11, 31, 15, 16, 21, 25	Ran on FASTA - No Coverage Report
SRR24842884	2025-05-09_10-46-01	SRR24842884.fa	A1	HA:ea1, MP:ea1, NP:ea1, NS:ea1, PA:ea1, PB2:ea1, NA:ea1, PB1:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NP, ea1:22-003707-003:NS, ea1:22-003707-003:PA, ea1:22-003707-003:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:PB1	99.71%, 99.80%, 99.27%, 99.64%, 99.67%, 99.80%, 99.79%, 99.87%	5, 2, 11, 3, 7, 3, 3, 3	Ran on FASTA - No Coverage Report
SRR32868594	2025-05-09_10-47-08	SRR32868594.fa	D1.1	NP:am13, PA:am4, NA:am4N1, HA:ea3, NS:ea3, PB2:am24, PB1:ea3, MP:ea3	am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.53%, 99.86%, 99.12%, 99.24%, 98.81%, 99.74%, 99.33%, 99.90%	7, 3, 10, 13, 10, 6, 12, 1	Ran on FASTA - No Coverage Report
SRR24839425	2025-05-09_10-45-11	SRR24839425.fa	A1	PB2:ea1, MP:ea1, NA:ea1, HA:ea1, PB1:ea1, NS:ea1, PA:ea1, NP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:PA, ea1:22-003707-003:NP	99.86%, 100.00%, 99.64%, 99.65%, 99.69%, 99.64%, 99.53%, 99.80%	2, 0, 5, 6, 7, 3, 10, 3	Ran on FASTA - No Coverage Report
SRR24842906	2025-05-09_10-46-23	SRR24842906.fa	A1	PB1:ea1, NS:ea1, PB2:ea1, PA:ea1, NP:ea1, NA:ea1, MP:ea1, HA:ea1	ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:HA	99.96%, 100.00%, 99.73%, 99.95%, 99.87%, 99.93%, 99.90%, 99.82%	1, 0, 4, 1, 2, 1, 1, 3	Ran on FASTA - No Coverage Report
SRR32654071	2025-05-09_10-45-58	SRR32654071.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	HA:ea3, PB2:ea3, NS:ea3, MP:ea3, PA:ea3, PB1:ea2, NP:ea3	ea3:22-013001-001:HA, ea3:22-013001-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PA, ea2:23-004612-024:PB1, ea3:22-013001-001:NP	99.47%, 99.44%, 99.52%, 97.15%, 99.90%, 99.49%, 100.00%, 99.20%	9, 4, 4, 40, 1, 11, 0, 10	Ran on FASTA - No Coverage Report
SRR32868838	2025-05-09_10-52-29	SRR32868838.fa	D1.1	NP:am13, NS:ea3, HA:ea3, PB2:am24, PA:am4, MP:ea3, PB1:ea3, NA:am4N1	am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA	99.73%, 98.81%, 99.53%, 99.74%, 99.60%, 100.00%, 99.44%, 99.33%	4, 10, 8, 6, 7, 0, 10, 7	Ran on FASTA - No Coverage Report
SRR32416427	2025-05-09_10-51-08	SRR32416427.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file	NP:am7, NS:am1.2	am7:22-039089-005:NP, am1:24-032138-001:MP, am1.2:22-010668-001:NS, am8:24-036222-001:PA, am13:23-029854-021:PB1, am2.2:22-010445-001:PB2	98.53%, 97.66%, 99.40%, 95.91%, 95.08%, 97.76%	22, 23, 5, 88, 112, 51	Ran on FASTA - No Coverage Report
SRR32416362	2025-05-09_10-46-21	SRR32416362.fa	D1.1	NA:am4N1, MP:ea3, HA:ea3, PA:am4, NP:am13, NS:ea3, PB1:ea3, PB2:am24	am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4:24-030039-001:PA, am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am24:24-030039-001:PB2	99.42%, 99.90%, 99.47%, 99.86%, 99.87%, 98.93%, 99.21%, 99.78%	6, 1, 9, 3, 2, 9, 18, 5	Ran on FASTA - No Coverage Report
SRR32653782	2025-05-09_10-52-10	SRR32653782.fa	D1.1	PB2:am24, HA:ea3, NS:ea3, MP:ea3, NA:am4N1, PB1:ea3, NP:am13, PA:am4	am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am4:24-030039-001:PA	99.78%, 99.30%, 98.81%, 99.80%, 99.64%, 99.21%, 99.73%, 99.53%	5, 12, 10, 2, 4, 18, 4, 10	Ran on FASTA - No Coverage Report
SRR32254427	2025-05-09_10-49-52	SRR32254427.fa	D1.1	NA:am4N1, PB2:am24, HA:ea3, PB1:ea3, NP:am13, PA:am4, MP:ea3, NS:ea3	am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NS	99.42%, 99.74%, 99.47%, 99.39%, 99.87%, 99.91%, 99.80%, 98.93%	6, 6, 9, 11, 2, 2, 2, 9	Ran on FASTA - No Coverage Report
SRR31960183	2025-05-09_10-47-30	SRR31960183.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB1:am4, MP:ea1, NS:am1.1, PB2:am2.2, HA:ea1, NA:ea1, NP:am8	am4:23-001855-001:PB1, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am8:23-032005-001:NP	99.38%, 98.88%, 99.17%, 97.26%, 98.11%, 98.29%, 98.86%, 99.00%	14, 11, 7, 59, 43, 29, 16, 15	Ran on FASTA - No Coverage Report
SRR31914406	2025-05-09_10-50-55	SRR31914406.fa	D1.1	MP:ea3, HA:ea3, PA:am4, NA:am4N1, NS:ea3, NP:am13, PB2:am24, PB1:ea3	ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1	99.90%, 99.59%, 99.81%, 99.20%, 98.93%, 99.93%, 99.69%, 99.34%	1, 7, 4, 9, 9, 1, 7, 12	Ran on FASTA - No Coverage Report
SRR29694549	2025-05-09_10-48-17	SRR29694549.fa	B3.13	NP:am8, PB1:am4, NS:am1.1, NA:ea1, HA:ea1, MP:ea1, PB2:am2.2, PA:ea1	am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA	99.27%, 99.56%, 98.93%, 99.08%, 98.65%, 98.57%, 98.77%, 99.16%	11, 10, 9, 13, 23, 14, 28, 18	Ran on FASTA - No Coverage Report
SRR29694590	2025-05-09_10-48-22	SRR29694590.fa	B3.13	NP:am8, PA:ea1, MP:ea1, NS:am1.1, PB2:am2.2, NA:ea1, PB1:am4, HA:ea1	am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:HA	99.33%, 99.21%, 98.88%, 98.93%, 98.73%, 99.08%, 99.47%, 98.65%	10, 17, 11, 9, 29, 13, 12, 23	Ran on FASTA - No Coverage Report
SRR31605187	2025-05-09_10-48-09	SRR31605187.fa	B3.13	MP:ea1, NP:am8, NS:am1.1, PB1:am4, NA:ea1, HA:ea1, PA:ea1, PB2:am2.2	ea1:22-003707-003:MP, am8:23-032005-001:NP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2	98.88%, 98.93%, 99.17%, 99.47%, 98.86%, 98.30%, 98.93%, 98.73%	11, 16, 7, 12, 16, 29, 23, 29	Ran on FASTA - No Coverage Report
SRR24839545	2025-05-09_10-45-59	SRR24839545.fa	A1	MP:ea1, PA:ea1, NA:ea1, NS:ea1, HA:ea1, PB1:ea1, NP:ea1, PB2:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:NS, ea1:22-003707-003:HA, ea1:22-003707-003:PB1, ea1:22-003707-003:NP, ea1:22-003707-003:PB2	100.00%, 99.95%, 99.79%, 100.00%, 99.82%, 99.91%, 99.87%, 99.86%	0, 1, 3, 0, 3, 2, 2, 2	Ran on FASTA - No Coverage Report
SRR32973816	2025-05-09_10-52-08	SRR32973816.fa	D1.1	MP:ea3, HA:ea3, NA:am4N1, NS:ea3, PB1:ea3, NP:am13, PB2:am24, PA:am4	ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am24:24-030039-001:PB2, am4:24-030039-001:PA	99.80%, 99.35%, 99.14%, 99.17%, 99.21%, 99.87%, 99.61%, 99.44%	2, 11, 9, 7, 18, 2, 9, 12	Ran on FASTA - No Coverage Report
SRR31062753	2025-05-09_10-46-15	SRR31062753.fa	B3.13	HA:ea1, PB2:am2.2, MP:ea1, PA:ea1, NS:am1.1, PB1:am4, NA:ea1, NP:am8	ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA, am8:23-032005-001:NP	98.47%, 98.60%, 98.78%, 99.02%, 99.17%, 99.52%, 98.86%, 98.86%	26, 32, 12, 21, 7, 11, 16, 17	Ran on FASTA - No Coverage Report
SRR30202035	2025-05-09_10-48-20	SRR30202035.fa	B3.13	PB2:am2.2, PB1:am4, HA:ea1, NS:am1.1, NP:am8, MP:ea1, PA:ea1, NA:ea1	am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:NA	98.68%, 99.47%, 98.65%, 98.81%, 99.27%, 98.88%, 99.21%, 99.08%	30, 12, 23, 10, 11, 11, 17, 13	Ran on FASTA - No Coverage Report
SRR31597102	2025-05-09_10-49-56	SRR31597102.fa	B3.13	HA:ea1, PB1:am4, PA:ea1, NA:ea1, NS:am1.1, PB2:am2.2, MP:ea1, NP:am8	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am8:23-032005-001:NP	98.41%, 99.52%, 98.84%, 98.86%, 98.81%, 98.64%, 98.98%, 99.06%	27, 11, 25, 16, 10, 31, 10, 14	Ran on FASTA - No Coverage Report
SRR29694498	2025-05-09_10-48-14	SRR29694498.fa	B3.13	PB1:am4, NP:am8, HA:ea1, NS:am1.1, MP:ea1, PB2:am2.2, PA:ea1, NA:ea1	am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NA	99.47%, 99.27%, 98.65%, 99.28%, 98.88%, 98.77%, 99.02%, 99.08%	12, 11, 23, 6, 11, 28, 21, 13	Ran on FASTA - No Coverage Report
SRR24839663	2025-05-09_10-46-10	SRR24839663.fa	B1.1	MP:ea1, NS:ea1, NA:ea1, PB2:am1.1, PB1:am1.1, HA:ea1, NP:am1.2, PA:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:PA	100.00%, 99.88%, 99.86%, 99.69%, 99.87%, 99.71%, 99.73%, 99.86%	0, 1, 2, 7, 3, 5, 4, 3	Ran on FASTA - No Coverage Report
